Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
CD3G	11q23.3	8.05	3.93	0.86	2.13	4.12	6.15e-36	3.18e-33	Altered group
IKZF1	7p12.2	11.06	7.28	0.76	1.80	3.78	6.19e-36	3.18e-33	Altered group
SLC9A9	3q24	8.59	6.18	0.51	1.27	2.41	1.09e-35	5.47e-33	Altered group
HCLS1	3q13.33	11.97	9.07	0.60	1.46	2.90	1.25e-35	6.11e-33	Altered group
METTL7A	12q13.12	10.56	8.48	0.48	1.42	2.08	1.67e-35	7.87e-33	Altered group
P2RY13	3q25.1	8.32	4.91	0.72	1.76	3.42	1.70e-35	7.87e-33	Altered group
CYRIA	2p24.2	7.35	4.75	0.58	1.62	2.59	1.73e-35	7.87e-33	Altered group
CD3D	11q23.3	9.89	5.89	0.88	2.34	4.00	2.01e-35	8.92e-33	Altered group
VOPP1	7p11.2	10.81	8.72	0.47	1.35	2.08	2.22e-35	9.65e-33	Altered group
LY9	1q23.3	8.79	4.60	0.86	2.03	4.20	2.48e-35	1.06e-32	Altered group
DOCK8	9p24.3	11.41	8.40	0.63	1.54	3.01	3.33e-35	1.39e-32	Altered group
ACSL5	10q25.2	9.84	7.24	0.60	1.67	2.60	8.53e-35	3.48e-32	Altered group
PTPN7	1q32.1	10.53	7.17	0.74	1.87	3.36	1.13e-34	4.54e-32	Altered group
C16ORF54	16p11.2	9.06	5.31	0.78	1.80	3.75	1.23e-34	4.83e-32	Altered group
HLA-DOA	6p21.32	11.83	8.45	0.76	2.02	3.38	1.33e-34	5.11e-32	Altered group
ITGAL	16p11.2	11.81	8.04	0.83	2.09	3.77	3.07e-34	1.16e-31	Altered group
CCR2	3p21.31	8.80	5.09	0.80	1.88	3.71	3.60e-34	1.33e-31	Altered group
SAMSN1	21q11.2	9.31	6.11	0.72	1.80	3.20	5.11e-34	1.86e-31	Altered group
MAN1A1	6q22.31	9.89	7.23	0.61	1.63	2.66	5.88e-34	2.10e-31	Altered group
EVI2A	17q11.2	9.80	7.14	0.62	1.63	2.67	7.97e-34	2.80e-31	Altered group
GPR65	14q31.3	8.27	5.27	0.66	1.59	3.00	8.42e-34	2.91e-31	Altered group
PCED1B-AS1	12q13.11	6.95	3.18	0.79	1.71	3.77	1.01e-33	3.43e-31	Altered group
P2RY10	Xq21.1	7.88	3.59	0.91	2.01	4.28	1.26e-33	4.19e-31	Altered group
AOAH	7p14.2	9.49	6.14	0.78	2.07	3.35	1.43e-33	4.69e-31	Altered group
PRKCQ	10p15.1	7.97	4.41	0.79	1.90	3.56	1.90e-33	6.12e-31	Altered group
RHOH	4p14	9.49	5.27	0.90	2.00	4.22	2.20e-33	7.00e-31	Altered group
TIGIT	3q13.31	9.56	5.72	0.89	2.30	3.83	2.50e-33	7.80e-31	Altered group
ELMO1	7p14.2-p14.1	10.07	7.79	0.54	1.44	2.28	2.61e-33	8.04e-31	Altered group
CD2	1p13.1	10.86	7.02	0.88	2.19	3.83	3.41e-33	1.03e-30	Altered group
CD80	3q13.33	6.34	3.48	0.65	1.54	2.86	4.79e-33	1.43e-30	Altered group
ATP8B4	15q21.2	6.99	4.67	0.55	1.44	2.32	5.86e-33	1.72e-30	Altered group
EPSTI1	13q14.11	9.38	6.83	0.63	1.89	2.55	5.91e-33	1.72e-30	Altered group
MPEG1	11q12.1	11.80	8.93	0.65	1.53	2.87	7.32e-33	2.09e-30	Altered group
CSF2RB	22q12.3	10.40	7.08	0.73	1.59	3.33	1.13e-32	3.20e-30	Altered group
SNX20	16q12.1	8.40	4.97	0.77	1.76	3.42	1.28e-32	3.55e-30	Altered group
LY75	2q24.2	9.76	6.18	0.81	1.86	3.58	1.43e-32	3.92e-30	Altered group
ITK	5q33.3	9.61	5.89	0.85	2.01	3.72	1.48e-32	4.00e-30	Altered group
ZBP1	20q13.31	8.14	4.27	0.89	2.10	3.87	2.16e-32	5.76e-30	Altered group
CD226	18q22.2	6.54	3.64	0.67	1.56	2.90	2.98e-32	7.84e-30	Altered group
SH2D1A	Xq25	8.84	4.71	0.95	2.20	4.12	5.88e-32	1.53e-29	Altered group
IL10RA	11q23.3	11.51	8.49	0.70	1.60	3.02	6.25e-32	1.60e-29	Altered group
RASGRP1	15q14	9.20	5.89	0.78	1.83	3.31	6.36e-32	1.61e-29	Altered group
RASSF5	1q32.1	10.93	8.04	0.66	1.46	2.89	6.73e-32	1.68e-29	Altered group
BTK	Xq22.1	9.77	6.81	0.67	1.44	2.96	1.27e-31	3.10e-29	Altered group
KLRB1	12p13.31	7.09	3.57	0.82	1.85	3.52	1.27e-31	3.10e-29	Altered group
LCK	1p35.2	10.60	6.64	0.94	2.21	3.96	1.42e-31	3.44e-29	Altered group
SLA2	20q11.23	8.57	5.05	0.84	2.00	3.53	1.51e-31	3.60e-29	Altered group
SIRPG	20p13	9.00	5.04	0.96	2.37	3.96	1.77e-31	4.16e-29	Altered group
GMFG	19q13.2	10.27	7.71	0.60	1.39	2.56	1.80e-31	4.20e-29	Altered group
RCSD1	1q24.2	10.56	7.42	0.71	1.51	3.14	2.26e-31	5.20e-29	Altered group
CD3E	11q23.3	11.48	7.52	0.95	2.24	3.96	3.32e-31	7.55e-29	Altered group
CD27	12p13.31	10.75	6.78	0.95	2.21	3.97	3.90e-31	8.77e-29	Altered group
HCK	20q11.21	10.30	7.91	0.59	1.49	2.39	3.99e-31	8.87e-29	Altered group
CD4	12p13.31	12.42	9.82	0.63	1.46	2.61	4.60e-31	1.01e-28	Altered group
IL18	11q23.1	9.12	6.07	0.74	1.76	3.05	5.19e-31	1.13e-28	Altered group
ICOS	2q33.2	7.87	4.36	0.84	1.90	3.51	5.90e-31	1.27e-28	Altered group
MNDA	1q23.1	8.83	6.17	0.67	1.67	2.67	6.44e-31	1.37e-28	Altered group
DCANP1	5q31.1	7.44	3.84	0.86	1.95	3.60	6.65e-31	1.40e-28	Altered group
BLNK	10q24.1	8.75	5.24	0.83	1.81	3.51	7.55e-31	1.57e-28	Altered group
GIMAP4	7q36.1	11.18	8.24	0.68	1.43	2.95	9.44e-31	1.95e-28	Altered group
TIFAB	5q31.1	6.51	3.18	0.81	1.84	3.33	1.09e-30	2.22e-28	Altered group
TRAF3IP3	1q32.2	9.81	6.05	0.86	1.75	3.76	1.13e-30	2.28e-28	Altered group
GIMAP5	7q36.1	10.90	8.04	0.67	1.41	2.86	1.18e-30	2.35e-28	Altered group
IL15	4q31.21	7.08	4.66	0.63	1.74	2.41	1.27e-30	2.51e-28	Altered group
CD48	1q23.3	10.92	7.21	0.87	1.83	3.71	1.35e-30	2.65e-28	Altered group
MARCHF1	4q32.2-q32.3	7.79	5.02	0.67	1.50	2.78	1.41e-30	2.75e-28	Altered group
ITGB7	12q13.13	10.29	7.37	0.71	1.62	2.92	1.50e-30	2.88e-28	Altered group
OTULINL	5p15.2	8.72	6.19	0.65	1.68	2.53	1.74e-30	3.31e-28	Altered group
DAPP1	4q23	8.65	4.95	0.86	1.74	3.70	1.77e-30	3.34e-28	Altered group
SELPLG	12q24.11	11.07	8.39	0.65	1.42	2.68	2.05e-30	3.83e-28	Altered group
FYB1	5p13.1	11.40	8.49	0.72	1.65	2.91	2.09e-30	3.86e-28	Altered group
TNFAIP8L2	1q21.3	8.60	5.86	0.65	1.40	2.74	2.55e-30	4.68e-28	Altered group
ARHGAP30	1q23.3	11.49	8.48	0.71	1.49	3.00	2.80e-30	5.09e-28	Altered group
SKAP1	17q21.32	8.57	5.39	0.84	2.36	3.18	2.82e-30	5.09e-28	Altered group
TNFRSF9	1p36.23	7.39	3.79	0.90	2.16	3.60	3.02e-30	5.39e-28	Altered group
JAML	11q23.3	9.81	6.83	0.73	1.64	2.98	3.07e-30	5.44e-28	Altered group
SLAMF1	1q23.3	8.49	4.51	0.99	2.32	3.98	3.37e-30	5.89e-28	Altered group
SAMD3	6q23.1	7.12	3.45	0.88	1.86	3.67	3.39e-30	5.89e-28	Altered group
ALOX5AP	13q12.3	9.30	6.77	0.65	1.65	2.53	4.43e-30	7.64e-28	Altered group
CD247	1q24.2	9.46	5.71	0.91	1.97	3.75	4.64e-30	7.93e-28	Altered group
MEI1	22q13.2	8.17	4.86	0.81	1.78	3.31	5.04e-30	8.54e-28	Altered group
CASP10	2q33.1	9.05	7.04	0.51	1.19	2.01	5.44e-30	9.15e-28	Altered group
PIK3R5	17p13.1	9.55	6.97	0.63	1.37	2.58	6.13e-30	1.02e-27	Altered group
TFEC	7q31.2	8.81	5.57	0.81	1.79	3.24	9.30e-30	1.54e-27	Altered group
TNFSF8	9q32-q33.1	7.20	3.98	0.76	1.49	3.22	9.83e-30	1.61e-27	Altered group
PTGER4	5p13.1	8.90	6.40	0.63	1.46	2.50	1.06e-29	1.73e-27	Altered group
TMSB4XP8	4q22.1	15.38	13.06	0.58	1.27	2.32	1.08e-29	1.74e-27	Altered group
FLI1	11q24.3	10.14	7.56	0.61	1.18	2.58	1.14e-29	1.82e-27	Altered group
CD86	3q13.33	9.66	7.05	0.66	1.50	2.60	1.65e-29	2.62e-27	Altered group
TMEM156	4p14	7.13	2.95	0.98	1.83	4.18	1.83e-29	2.88e-27	Altered group
HSH2D	19p13.11	8.84	4.87	0.96	1.92	3.97	1.91e-29	2.99e-27	Altered group
LAPTM5	1p35.2	13.97	11.28	0.67	1.44	2.69	2.06e-29	3.20e-27	Altered group
SASH3	Xq26.1	11.18	7.81	0.82	1.68	3.37	2.40e-29	3.69e-27	Altered group
PCED1B	12q13.11	9.54	6.35	0.79	1.67	3.19	2.59e-29	3.95e-27	Altered group
PRKCB	16p12.2-p12.1	10.43	6.97	0.89	2.03	3.46	2.75e-29	4.17e-27	Altered group
CCND2	12p13.32	10.94	8.23	0.69	1.52	2.71	4.57e-29	6.88e-27	Altered group
ADGRG5	16q21	8.08	4.18	0.96	1.95	3.90	5.48e-29	8.18e-27	Altered group
P2RY8	Xp22.33 and Yp11.3	9.92	6.60	0.79	1.49	3.31	5.56e-29	8.24e-27	Altered group
NLRC4	2p22.3	6.75	4.83	0.50	1.16	1.92	6.49e-29	9.54e-27	Altered group
RNASE6	14q11.2	9.76	7.44	0.59	1.30	2.32	6.72e-29	9.82e-27	Altered group
RBM47	4p14	9.02	7.00	0.56	1.51	2.02	7.37e-29	1.07e-26	Altered group
GIMAP8	7q36.1	9.73	7.19	0.63	1.23	2.54	9.45e-29	1.36e-26	Altered group
TRANK1	3p22.2	10.30	8.13	0.58	1.38	2.17	1.01e-28	1.44e-26	Altered group
GGTA1	9q33.2	8.57	6.10	0.65	1.48	2.47	1.08e-28	1.53e-26	Altered group
RASGEF1B	4q21.21	7.96	5.86	0.57	1.39	2.10	1.17e-28	1.64e-26	Altered group
ZNF831	20q13.32	8.39	4.41	1.00	2.04	3.98	1.22e-28	1.70e-26	Altered group
CYTH4	22q13.1	10.55	8.00	0.65	1.36	2.55	1.41e-28	1.95e-26	Altered group
STAT4	2q32.2-q32.3	8.03	4.70	0.83	1.64	3.33	1.56e-28	2.15e-26	Altered group
ARHGEF6	Xq26.3	10.44	8.65	0.51	1.51	1.79	1.60e-28	2.19e-26	Altered group
CLEC4A	12p13.31	7.18	4.65	0.64	1.32	2.52	1.67e-28	2.27e-26	Altered group
GIMAP6	7q36.1	10.37	7.67	0.66	1.28	2.69	1.68e-28	2.27e-26	Altered group
CD84	1q23.3	8.77	5.64	0.81	1.76	3.14	1.70e-28	2.29e-26	Altered group
CD38	4p15.32	9.16	5.29	1.03	2.41	3.87	1.88e-28	2.51e-26	Altered group
SLCO2B1	11q13.4	11.39	9.01	0.64	1.56	2.38	2.14e-28	2.84e-26	Altered group
NCF4	22q12.3	9.53	7.12	0.63	1.37	2.41	2.26e-28	2.97e-26	Altered group
PLA2G2D	1p36.12	10.46	5.21	1.39	3.16	5.24	2.32e-28	3.03e-26	Altered group
BCL11B	14q32.2	9.25	5.55	0.95	2.00	3.70	2.36e-28	3.07e-26	Altered group
PTPRO	12p12.3	7.43	5.03	0.66	1.61	2.40	2.74e-28	3.54e-26	Altered group
VNN2	6q23.2	7.92	4.38	0.90	1.78	3.54	2.99e-28	3.83e-26	Altered group
LCP2	5q35.1	10.88	8.70	0.61	1.60	2.19	3.16e-28	4.03e-26	Altered group
GIMAP2	7q36.1	9.31	6.67	0.70	1.55	2.64	3.35e-28	4.25e-26	Altered group
IPCEF1	6q25.2	8.41	4.81	0.88	1.63	3.60	3.41e-28	4.29e-26	Altered group
CD40	20q13.12	10.03	7.72	0.63	1.48	2.31	4.00e-28	5.00e-26	Altered group
EMB	5q11.1	10.35	7.34	0.80	1.79	3.02	4.41e-28	5.49e-26	Altered group
ARHGDIB	12p12.3	13.12	10.73	0.61	1.23	2.38	4.64e-28	5.73e-26	Altered group
PLCL2	3p24.3	8.70	6.47	0.60	1.36	2.23	5.01e-28	6.15e-26	Altered group
SLC46A3	13q12.3	8.95	6.99	0.55	1.41	1.96	5.04e-28	6.15e-26	Altered group
LAIR1	19q13.42	10.71	8.22	0.67	1.52	2.49	5.27e-28	6.39e-26	Altered group
CLIC2	Xq28	9.18	6.74	0.68	1.70	2.44	5.43e-28	6.54e-26	Altered group
GPR171	3q25.1	7.49	3.77	0.95	1.90	3.72	5.54e-28	6.64e-26	Altered group
AMPD3	11p15.4	8.97	6.68	0.61	1.32	2.29	5.84e-28	6.96e-26	Altered group
ADAMDEC1	8p21.2	9.65	5.15	1.20	2.60	4.51	5.91e-28	6.99e-26	Altered group
KLHL6	3q27.1	9.99	6.92	0.80	1.63	3.07	6.38e-28	7.52e-26	Altered group
TLR7	Xp22.2	8.50	5.46	0.81	1.73	3.04	6.53e-28	7.64e-26	Altered group
CLIC5	6p21.1	7.04	5.10	0.55	1.41	1.94	1.23e-27	1.43e-25	Altered group
PARP8	5q11.1	9.14	7.28	0.55	1.75	1.86	1.26e-27	1.45e-25	Altered group
SYK	9q22.2	10.88	8.33	0.69	1.52	2.55	1.26e-27	1.45e-25	Altered group
INPP5D	2q37.1	11.26	8.14	0.80	1.52	3.11	1.29e-27	1.47e-25	Altered group
HLA-DPA1	6p21.32	14.59	11.89	0.75	1.79	2.70	1.29e-27	1.47e-25	Altered group
CD180	5q12.3	9.32	6.00	0.84	1.57	3.33	1.31e-27	1.48e-25	Altered group
SEL1L3	4p15.2	11.50	8.65	0.79	1.88	2.85	1.40e-27	1.57e-25	Altered group
CD6	11q12.2	10.19	6.56	0.96	1.97	3.63	1.53e-27	1.71e-25	Altered group
ARL11	13q14.2	7.23	4.58	0.68	1.31	2.65	1.58e-27	1.76e-25	Altered group
RGS18	1q31.2	6.56	3.58	0.80	1.66	2.99	1.65e-27	1.83e-25	Altered group
CTSS	1q21.3	12.91	10.34	0.69	1.46	2.56	1.70e-27	1.87e-25	Altered group
ITGA4	2q31.3	10.62	7.99	0.77	2.16	2.63	1.72e-27	1.88e-25	Altered group
TESPA1	12q13.2	8.06	4.02	1.04	1.96	4.04	1.83e-27	1.99e-25	Altered group
CMAHP	6p22.3	7.96	5.09	0.75	1.44	2.87	1.97e-27	2.13e-25	Altered group
TRAT1	3q13.13	7.61	3.21	1.11	1.98	4.39	1.98e-27	2.13e-25	Altered group
MS4A6A	11q12.2	11.01	8.52	0.69	1.54	2.49	2.02e-27	2.16e-25	Altered group
SEMA4D	9q22.2	11.08	8.57	0.65	1.24	2.51	2.19e-27	2.33e-25	Altered group
APOBEC3D	22q13.1	8.61	6.60	0.57	1.36	2.01	2.44e-27	2.58e-25	Altered group
TOX	8q12.1	8.83	5.57	0.90	2.02	3.27	2.47e-27	2.60e-25	Altered group
FAM107B	10p13	10.89	8.50	0.64	1.29	2.40	2.61e-27	2.74e-25	Altered group
KCNA3	1p13.3	7.26	3.69	0.94	1.83	3.57	2.68e-27	2.80e-25	Altered group
THEMIS	6q22.33	7.71	3.49	1.09	2.03	4.21	3.25e-27	3.37e-25	Altered group
FGD2	6p21.2	9.58	6.51	0.82	1.63	3.07	3.28e-27	3.39e-25	Altered group
DPYD	1p21.3	9.62	7.40	0.65	1.77	2.23	3.45e-27	3.55e-25	Altered group
DENND2D	1p13.3-p13.2	10.26	7.49	0.79	1.91	2.77	3.92e-27	3.99e-25	Altered group
IL15RA	10p15.1	8.54	6.22	0.64	1.40	2.32	3.93e-27	3.99e-25	Altered group
SPN	16p11.2	10.19	6.92	0.89	1.89	3.27	4.26e-27	4.30e-25	Altered group
MFNG	22q13.1	9.76	7.02	0.70	1.27	2.74	4.40e-27	4.43e-25	Altered group
KLRK1	12p13.2	9.17	5.65	0.98	2.15	3.52	4.54e-27	4.55e-25	Altered group
GNGT2	17q21.32	6.52	3.93	0.70	1.42	2.59	4.64e-27	4.62e-25	Altered group
GZMK	5q11.2	9.98	5.71	1.17	2.46	4.27	6.79e-27	6.73e-25	Altered group
SIT1	9p13.3	8.92	4.99	1.07	2.17	3.93	8.87e-27	8.75e-25	Altered group
ABCD2	12q12	6.61	3.00	0.94	1.66	3.61	1.14e-26	1.12e-24	Altered group
CYSLTR1	Xq21.1	6.50	3.38	0.80	1.33	3.12	1.33e-26	1.30e-24	Altered group
KIAA0040	1q25.1	10.25	8.24	0.60	1.53	2.01	1.69e-26	1.64e-24	Altered group
GLRX	5q15	9.42	7.74	0.48	1.09	1.68	1.82e-26	1.76e-24	Altered group
GFI1	1p22.1	7.73	4.97	0.78	1.69	2.76	2.00e-26	1.92e-24	Altered group
PRDM1	6q21	9.94	7.34	0.71	1.38	2.60	2.11e-26	2.02e-24	Altered group
PIM1	6p21.2	10.53	8.77	0.50	1.05	1.76	2.22e-26	2.12e-24	Altered group
IRF8	16q24.1	10.93	7.37	0.95	1.72	3.56	2.43e-26	2.30e-24	Altered group
CD74	5q33.1	17.48	14.69	0.80	1.80	2.79	2.53e-26	2.39e-24	Altered group
IL2RA	10p15.1	7.94	5.06	0.83	1.83	2.88	2.62e-26	2.46e-24	Altered group
UBASH3A	21q22.3	8.07	4.14	1.08	2.09	3.93	3.33e-26	3.12e-24	Altered group
TNFSF10	3q26	10.30	7.75	0.74	1.67	2.54	4.00e-26	3.72e-24	Altered group
MAP4K1	19q13.2	10.25	7.25	0.83	1.63	3.00	4.48e-26	4.15e-24	Altered group
APOL3	22q12.3	11.02	8.29	0.79	1.77	2.74	4.58e-26	4.22e-24	Altered group
MAP3K5	6q23.3	9.13	7.52	0.49	1.31	1.62	5.08e-26	4.66e-24	Altered group
NUAK2	1q32.1	8.68	6.30	0.67	1.37	2.38	5.58e-26	5.10e-24	Altered group
PYHIN1	1q23.1	8.37	5.03	0.98	2.19	3.34	7.39e-26	6.72e-24	Altered group
AIF1	6p21.33	10.49	8.12	0.69	1.48	2.37	7.77e-26	7.04e-24	Altered group
BTLA	3q13.2	7.65	3.48	1.12	1.90	4.17	8.90e-26	8.02e-24	Altered group
CD300A	17q25.1	9.04	6.92	0.62	1.38	2.11	9.18e-26	8.24e-24	Altered group
CLEC7A	12p13.2	8.62	6.08	0.74	1.59	2.54	1.06e-25	9.43e-24	Altered group
CRTAM	11q24.1	7.44	3.96	0.99	1.94	3.48	1.13e-25	1.00e-23	Altered group
CD1D	1q23.1	7.38	4.80	0.73	1.40	2.58	1.14e-25	1.01e-23	Altered group
SIGLEC5	19q13.41	7.06	4.29	0.79	1.58	2.77	1.35e-25	1.19e-23	Altered group
TLR1	4p14	8.64	6.97	0.52	1.34	1.67	1.46e-25	1.28e-23	Altered group
CD300LF	17q25.1	7.74	4.97	0.80	1.60	2.77	1.46e-25	1.28e-23	Altered group
LPXN	11q12.1	10.73	8.86	0.57	1.38	1.87	1.70e-25	1.48e-23	Altered group
RIPK3	14q12	7.77	5.60	0.65	1.50	2.18	1.88e-25	1.63e-23	Altered group
TNFAIP8	5q23.1	9.95	7.17	0.74	1.16	2.78	1.92e-25	1.66e-23	Altered group
CD5	11q12.2	9.82	5.96	1.10	2.11	3.86	1.93e-25	1.66e-23	Altered group
RAC2	22q13.1	12.23	9.10	0.90	1.77	3.13	2.02e-25	1.72e-23	Altered group
CXCL13	4q21.1	11.09	6.39	1.39	2.90	4.71	3.06e-25	2.61e-23	Altered group
RAB37	17q25.1	8.60	5.03	1.00	1.74	3.57	3.41e-25	2.89e-23	Altered group
GIMAP7	7q36.1	10.05	6.65	0.92	1.49	3.40	3.54e-25	2.99e-23	Altered group
CHST15	10q26.13	9.80	7.72	0.60	1.16	2.08	3.71e-25	3.12e-23	Altered group
PTPN6	12p13.31	11.65	8.59	0.86	1.56	3.06	3.81e-25	3.19e-23	Altered group
GCNT1	9q21.13	8.59	6.55	0.63	1.57	2.04	3.86e-25	3.22e-23	Altered group
RSPO3	6q22.33	6.55	3.45	0.89	1.66	3.09	4.05e-25	3.36e-23	Altered group
HLA-DMA	6p21.32	12.46	10.08	0.71	1.51	2.38	4.57e-25	3.78e-23	Altered group
IKZF3	17q12-q21.1	7.77	3.54	1.20	2.16	4.23	4.83e-25	3.98e-23	Altered group
SIRPB2	20p13	7.43	4.78	0.77	1.49	2.65	4.86e-25	3.99e-23	Altered group
FGL2	7q11.23	11.23	8.29	0.91	2.16	2.93	4.91e-25	4.01e-23	Altered group
GATA3	10p14	8.02	5.04	0.90	1.97	2.97	5.21e-25	4.24e-23	Altered group
CASS4	20q13.31	6.28	3.80	0.74	1.52	2.48	5.39e-25	4.37e-23	Altered group
CEACAM21	19q13.2	6.62	3.70	0.85	1.66	2.92	5.61e-25	4.53e-23	Altered group
PTGDR	14q22.1	4.83	2.33	0.70	1.19	2.50	5.77e-25	4.63e-23	Altered group
SLC40A1	2q32.2	11.26	8.60	0.80	1.73	2.65	6.98e-25	5.59e-23	Altered group
TRERF1	6p21.1	8.75	7.00	0.55	1.43	1.75	7.07e-25	5.63e-23	Altered group
HCP5	6p21.33	10.78	8.23	0.80	1.97	2.55	7.76e-25	6.15e-23	Altered group
TMEM176B	7q36.1	11.74	9.34	0.72	1.52	2.40	7.79e-25	6.15e-23	Altered group
SLC8A1	2p22.1	8.62	6.30	0.70	1.52	2.32	7.81e-25	6.15e-23	Altered group
POU2AF1	11q23.1	10.66	5.64	1.47	2.83	5.02	8.33e-25	6.53e-23	Altered group
CALHM6	6q22.1	9.49	6.31	0.96	2.04	3.18	8.66e-25	6.77e-23	Altered group
LYZ	12q15	13.91	10.49	1.01	2.00	3.41	8.81e-25	6.86e-23	Altered group
TRIM22	11p15.4	11.29	8.82	0.75	1.60	2.47	8.97e-25	6.96e-23	Altered group
CIITA	16p13.13	10.73	7.61	0.96	2.09	3.13	1.07e-24	8.28e-23	Altered group
AMIGO2	12q13.11	8.04	5.80	0.72	1.88	2.24	1.14e-24	8.77e-23	Altered group
FGD6	12q22	8.10	6.47	0.50	1.06	1.63	1.15e-24	8.83e-23	Altered group
CD69	12p13.31	8.75	4.66	1.16	1.94	4.10	1.29e-24	9.85e-23	Altered group
WDFY4	10q11.23	10.44	6.82	1.05	1.87	3.62	1.66e-24	1.27e-22	Altered group
WNT10A	2q35	6.57	3.72	0.88	1.90	2.85	1.80e-24	1.37e-22	Altered group
ITM2A	Xq21.1	9.90	7.04	0.88	1.85	2.86	1.94e-24	1.47e-22	Altered group
ZBED6CL	7q36.1	7.86	5.62	0.74	2.17	2.24	2.01e-24	1.51e-22	Altered group
DOCK11	Xq24	9.83	7.65	0.67	1.46	2.18	2.03e-24	1.52e-22	Altered group
SPINT2	19q13.2	9.20	7.24	0.64	1.71	1.96	2.46e-24	1.84e-22	Altered group
JAK3	19p13.11	10.98	8.36	0.78	1.45	2.62	2.66e-24	1.98e-22	Altered group
HLA-DPB1	6p21.32	14.07	11.38	0.82	1.63	2.68	2.87e-24	2.13e-22	Altered group
SLFN11	17q12	9.99	8.13	0.61	1.60	1.86	3.13e-24	2.31e-22	Altered group
LAT2	7q11.23	9.50	6.89	0.77	1.36	2.60	3.33e-24	2.45e-22	Altered group
