Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
TNFSF8	9q32-q33.1	6.20	4.13	1.04	1.25	2.07	1.33e-26	4.82e-24	Altered group
AOAH	7p14.2	8.63	6.95	0.84	1.01	1.68	1.40e-26	5.01e-24	Altered group
SLC7A7	14q11.2	9.23	7.47	0.88	0.99	1.76	1.48e-26	5.07e-24	Altered group
SLC2A9	4p16.1	5.78	4.20	0.79	1.04	1.57	1.49e-26	5.07e-24	Altered group
NAGA	22q13.2	10.11	9.04	0.53	0.59	1.07	1.52e-26	5.07e-24	Altered group
BIN2	12q13.13	8.69	7.08	0.81	1.04	1.62	1.52e-26	5.07e-24	Altered group
LY96	8q21.11	7.06	5.32	0.88	1.11	1.74	1.74e-26	5.72e-24	Altered group
ARHGAP30	1q23.3	9.55	7.94	0.80	0.86	1.61	1.80e-26	5.80e-24	Altered group
RNASET2	6q27	11.22	9.82	0.71	0.91	1.40	2.54e-26	8.06e-24	Altered group
PTPN6	12p13.31	9.59	8.02	0.80	1.00	1.57	2.94e-26	9.19e-24	Altered group
EVI2B	17q11.2	9.79	7.62	1.08	1.05	2.17	3.39e-26	1.04e-23	Altered group
TLR1	4p14	8.20	6.21	1.01	1.03	2.00	3.51e-26	1.07e-23	Altered group
PDCD1LG2	9p24.1	6.52	4.17	1.20	1.44	2.36	4.19e-26	1.25e-23	Altered group
RGS10	10q26.11	10.00	8.52	0.76	1.07	1.48	5.88e-26	1.73e-23	Altered group
HLA-DRB1	6p21.32	12.06	9.62	1.25	1.56	2.44	6.20e-26	1.80e-23	Altered group
CLEC7A	12p13.2	8.06	6.04	1.05	1.30	2.02	9.62e-26	2.75e-23	Altered group
TLR7	Xp22.2	9.12	6.96	1.12	1.28	2.16	1.16e-25	3.23e-23	Altered group
SLC8B1	12q24.13	9.36	8.48	0.45	0.81	0.87	1.16e-25	3.23e-23	Altered group
MSR1	8p22	9.66	7.37	1.19	1.39	2.30	1.21e-25	3.32e-23	Altered group
NCKAP1L	12q13.13-q13.2	10.14	8.27	0.96	1.09	1.86	1.26e-25	3.41e-23	Altered group
PCED1B	12q13.11	7.17	5.66	0.79	1.06	1.51	1.32e-25	3.52e-23	Altered group
TLR2	4q31.3	9.60	7.40	1.14	1.34	2.20	1.47e-25	3.83e-23	Altered group
LOXL3	2p13.1	8.94	7.90	0.54	0.94	1.03	1.47e-25	3.83e-23	Altered group
ARL11	13q14.2	6.45	4.71	0.90	0.99	1.74	1.68e-25	4.32e-23	Altered group
AIF1	6p21.33	10.36	8.80	0.82	1.10	1.56	1.90e-25	4.81e-23	Altered group
DRAM2	1p13.3	9.73	9.01	0.38	0.52	0.72	2.01e-25	5.04e-23	Altered group
BTK	Xq22.1	8.58	6.75	0.95	1.05	1.83	2.31e-25	5.71e-23	Altered group
MILR1	17q23.3	5.79	4.01	0.93	1.19	1.78	2.36e-25	5.75e-23	Altered group
C1QB	1p36.12	13.08	11.10	1.03	1.18	1.98	2.68e-25	6.46e-23	Altered group
CYBB	Xp21.1-p11.4	11.34	9.31	1.07	1.26	2.04	2.75e-25	6.55e-23	Altered group
VAV1	19p13.3	8.68	6.94	0.92	1.14	1.74	2.81e-25	6.62e-23	Altered group
CD4	12p13.31	11.10	9.58	0.80	0.88	1.53	3.58e-25	8.33e-23	Altered group
CD68	17p13.1	11.90	10.22	0.89	1.07	1.68	3.68e-25	8.46e-23	Altered group
WAS	Xp11.23	9.03	7.59	0.76	0.89	1.44	3.80e-25	8.65e-23	Altered group
ELF4	Xq26.1	7.58	5.97	0.85	1.07	1.61	3.90e-25	8.76e-23	Altered group
STXBP2	19p13.2	8.90	7.42	0.78	0.91	1.48	5.41e-25	1.20e-22	Altered group
GPR65	14q31.3	7.21	4.65	1.35	1.44	2.56	5.72e-25	1.26e-22	Altered group
MS4A7	11q12.2	10.06	8.36	0.90	1.18	1.70	5.98e-25	1.30e-22	Altered group
PLB1	2p23.2	7.46	5.83	0.87	0.94	1.63	7.47e-25	1.61e-22	Altered group
TMEM106A	17q21.31	7.17	5.50	0.89	1.05	1.66	7.57e-25	1.61e-22	Altered group
ABI3	17q21.32	9.22	7.55	0.89	1.06	1.67	7.86e-25	1.66e-22	Altered group
PLCG2	16q24.1	8.66	7.19	0.78	0.89	1.47	9.10e-25	1.90e-22	Altered group
ATP8B4	15q21.2	8.06	6.45	0.86	1.07	1.61	9.83e-25	2.03e-22	Altered group
C1ORF162	1p13.2	8.60	6.89	0.92	1.17	1.71	1.04e-24	2.12e-22	Altered group
NLRP3	1q44	8.32	6.86	0.79	1.14	1.46	1.11e-24	2.24e-22	Altered group
PLEK	2p14	9.45	7.57	1.00	1.08	1.88	1.14e-24	2.29e-22	Altered group
FCER1G	1q23.3	9.83	8.12	0.92	1.12	1.71	1.24e-24	2.47e-22	Altered group
HAVCR2	5q33.3	10.26	8.45	0.97	1.12	1.81	1.35e-24	2.64e-22	Altered group
C1QC	1p36.12	12.88	11.03	0.99	1.12	1.85	1.36e-24	2.64e-22	Altered group
ITGAM	16p11.2	9.46	7.73	0.93	1.21	1.73	1.37e-24	2.64e-22	Altered group
DOK1	2p13.1	8.95	8.11	0.45	0.70	0.83	1.43e-24	2.73e-22	Altered group
TGFB1	19q13.2	10.46	9.46	0.54	0.92	1.00	1.63e-24	3.08e-22	Altered group
HACD4	9p21.3	7.72	5.98	0.93	0.96	1.74	1.75e-24	3.27e-22	Altered group
CD180	5q12.3	7.54	5.52	1.08	1.15	2.02	1.94e-24	3.59e-22	Altered group
RAB32	6q24.3	7.99	6.56	0.78	0.98	1.43	2.24e-24	4.11e-22	Altered group
PLBD1	12p13.1	7.02	4.93	1.13	1.21	2.09	2.34e-24	4.26e-22	Altered group
WDFY4	10q11.23	9.15	7.21	1.05	1.20	1.94	2.54e-24	4.58e-22	Altered group
SPN	16p11.2	7.47	5.66	0.98	1.09	1.82	2.72e-24	4.86e-22	Altered group
CSF2RA	Xp22.32 and Yp11.3	9.36	7.71	0.90	1.25	1.65	3.64e-24	6.45e-22	Altered group
SASH3	Xq26.1	9.47	7.64	1.00	1.09	1.83	3.82e-24	6.71e-22	Altered group
SPINT1	15q15.1	5.99	4.26	0.94	1.07	1.73	4.31e-24	7.50e-22	Altered group
CXCL16	17p13.2	11.01	9.97	0.58	0.77	1.05	4.69e-24	8.09e-22	Altered group
HCLS1	3q13.33	11.12	9.26	1.01	1.06	1.86	4.73e-24	8.09e-22	Altered group
PIK3CG	7q22.3	7.11	4.89	1.21	1.24	2.22	4.90e-24	8.30e-22	Altered group
FGL2	7q11.23	9.56	7.58	1.08	1.15	1.98	4.98e-24	8.37e-22	Altered group
SCAMP2	15q24.1	11.22	10.65	0.31	0.42	0.57	5.42e-24	9.04e-22	Altered group
RNF135	17q11.2	8.29	6.96	0.74	0.95	1.33	7.37e-24	1.22e-21	Altered group
LGALS9	17q11.2	10.79	9.20	0.88	1.03	1.59	7.48e-24	1.23e-21	Altered group
LILRB1	19q13.42	8.56	6.58	1.09	1.21	1.98	7.54e-24	1.23e-21	Altered group
C1QA	1p36.12	12.42	10.58	1.01	1.15	1.84	7.65e-24	1.23e-21	Altered group
ARHGDIB	12p12.3	11.38	9.98	0.77	0.82	1.40	8.63e-24	1.38e-21	Altered group
ALOX5	10q11.21	9.16	7.15	1.11	1.20	2.01	8.81e-24	1.40e-21	Altered group
C11ORF45	11q24.3	6.10	4.53	0.87	0.94	1.57	9.26e-24	1.46e-21	Altered group
MIS18BP1	14q21.2	8.25	7.06	0.67	0.92	1.20	9.61e-24	1.50e-21	Altered group
ADAP2	17q11.2	9.10	7.69	0.78	0.85	1.41	9.76e-24	1.51e-21	Altered group
CASP4	11q22.3	7.79	6.11	0.93	1.05	1.68	9.95e-24	1.53e-21	Altered group
CIITA	16p13.13	8.50	6.03	1.37	1.60	2.47	1.02e-23	1.55e-21	Altered group
CD53	1p13.3	10.77	8.93	1.01	1.03	1.84	1.13e-23	1.72e-21	Altered group
GBGT1	9q34.2	7.59	6.18	0.78	0.86	1.41	1.18e-23	1.78e-21	Altered group
LRRC25	19p13.11	7.87	6.08	0.99	1.12	1.79	1.30e-23	1.95e-21	Altered group
ITGB2	21q22.3	11.88	9.95	1.07	1.17	1.92	1.40e-23	2.07e-21	Altered group
LPXN	11q12.1	8.75	7.81	0.52	0.58	0.93	1.50e-23	2.19e-21	Altered group
APOBEC3C	22q13.1	7.55	5.80	0.98	1.05	1.75	1.50e-23	2.19e-21	Altered group
TFEC	7q31.2	7.95	6.01	1.08	1.09	1.94	1.55e-23	2.25e-21	Altered group
CARD9	9q34.3	7.36	5.90	0.82	1.12	1.45	1.67e-23	2.40e-21	Altered group
C3	19p13.3	14.63	12.35	1.28	1.55	2.28	1.87e-23	2.68e-21	Altered group
IRF8	16q24.1	9.52	7.87	0.93	1.11	1.66	1.92e-23	2.73e-21	Altered group
CARD16	11q22.3	6.60	4.50	1.17	1.41	2.09	1.96e-23	2.76e-21	Altered group
IGSF6	16p12.2	7.90	6.17	0.97	1.08	1.73	2.07e-23	2.90e-21	Altered group
GPR160	3q26.2	6.42	4.99	0.80	0.91	1.43	2.15e-23	2.99e-21	Altered group
GPR132	14q32.33	6.78	5.02	0.98	1.09	1.76	2.39e-23	3.30e-21	Altered group
CYTH4	22q13.1	9.38	7.77	0.90	1.06	1.60	2.50e-23	3.42e-21	Altered group
PIK3AP1	10q24.1	9.53	7.85	0.94	0.89	1.68	2.78e-23	3.78e-21	Altered group
TLR3	4q35.1	7.86	6.10	0.99	1.01	1.76	3.13e-23	4.20e-21	Altered group
SPI1	11p11.2	10.04	8.41	0.92	1.07	1.63	3.13e-23	4.20e-21	Altered group
MAML3	4q31.1	7.67	6.67	0.57	0.77	1.00	3.25e-23	4.33e-21	Altered group
ITPRIPL2	16p12.3	9.72	8.77	0.54	0.64	0.95	3.45e-23	4.58e-21	Altered group
ITGAL	16p11.2	8.79	6.53	1.27	1.26	2.26	3.51e-23	4.62e-21	Altered group
MICB	6p21.33	6.10	4.71	0.79	1.05	1.39	3.72e-23	4.87e-21	Altered group
GAPT	5q11.2	6.37	3.92	1.39	1.49	2.45	3.85e-23	4.97e-21	Altered group
LRMDA	10q22.2-q22.3	5.50	3.95	0.88	1.15	1.55	4.59e-23	5.89e-21	Altered group
MAPKAPK3	3p21.2	9.97	9.28	0.39	0.61	0.69	4.68e-23	5.96e-21	Altered group
PTGS1	9q33.2	9.67	7.99	0.96	1.23	1.68	4.95e-23	6.27e-21	Altered group
INPP5D	2q37.1	10.67	9.23	0.82	0.90	1.44	5.03e-23	6.32e-21	Altered group
IKZF1	7p12.2	9.08	7.26	1.03	1.05	1.82	5.11e-23	6.39e-21	Altered group
TREM2	6p21.1	10.93	9.11	1.04	1.37	1.82	5.16e-23	6.41e-21	Altered group
CCR5	3p21.31	7.15	4.67	1.40	1.39	2.48	5.23e-23	6.46e-21	Altered group
APOBEC3G	22q13.1	7.53	5.78	0.99	1.07	1.75	5.32e-23	6.53e-21	Altered group
CYBA	16q24.2	10.43	8.96	0.84	1.01	1.47	5.75e-23	7.00e-21	Altered group
SLC37A2	11q24.2	8.66	7.04	0.92	1.15	1.61	5.77e-23	7.00e-21	Altered group
FYB1	5p13.1	10.18	8.15	1.15	1.07	2.03	6.02e-23	7.26e-21	Altered group
PTPRC	1q31.3-q32.1	10.03	7.83	1.24	1.16	2.19	6.34e-23	7.60e-21	Altered group
RGS19	20q13.33	9.05	7.95	0.62	0.66	1.09	6.68e-23	7.96e-21	Altered group
TMEM52B	12p13.2	6.67	4.83	1.05	1.28	1.84	6.85e-23	8.11e-21	Altered group
ARHGAP25	2p13.3	8.79	7.36	0.82	0.81	1.44	6.89e-23	8.11e-21	Altered group
HHEX	10q23.33	7.26	5.96	0.75	0.89	1.30	7.45e-23	8.71e-21	Altered group
S100A11	1q21.3	10.49	8.69	1.03	1.17	1.80	7.49e-23	8.71e-21	Altered group
LILRB4	19q13.42	10.30	8.46	1.06	1.27	1.84	7.92e-23	9.10e-21	Altered group
NFAM1	22q13.2	8.57	6.98	0.90	0.95	1.58	8.24e-23	9.43e-21	Altered group
CSF2RB	22q12.3	7.33	5.44	1.08	1.08	1.89	8.37e-23	9.52e-21	Altered group
GPR183	13q32.3	7.88	6.05	1.05	1.39	1.83	8.70e-23	9.84e-21	Altered group
RPS6KA1	1p36.11	9.94	8.40	0.88	0.95	1.54	1.04e-22	1.16e-20	Altered group
CYTIP	2q24.1	6.92	4.99	1.11	1.13	1.93	1.12e-22	1.25e-20	Altered group
SLC15A3	11q12.2	9.61	8.17	0.83	0.99	1.44	1.16e-22	1.29e-20	Altered group
ADAM28	8p21.2	8.80	7.10	0.99	1.26	1.71	1.32e-22	1.46e-20	Altered group
ADPRH	3q13.33	7.84	6.50	0.77	0.81	1.34	1.34e-22	1.47e-20	Altered group
SAMSN1	21q11.2	8.96	7.10	1.07	1.18	1.85	1.38e-22	1.51e-20	Altered group
CD300LF	17q25.1	6.03	4.20	1.06	1.23	1.84	1.44e-22	1.56e-20	Altered group
GMFG	19q13.2	8.49	7.22	0.74	0.84	1.27	1.47e-22	1.59e-20	Altered group
SERPINA1	14q32.13	9.98	7.56	1.40	1.39	2.42	1.56e-22	1.68e-20	Altered group
PCED1B-AS1	12q13.11	5.57	3.74	1.07	1.43	1.83	1.68e-22	1.80e-20	Altered group
NCF2	1q25.3	8.41	6.91	0.87	0.95	1.49	1.77e-22	1.88e-20	Altered group
IL12RB1	19p13.11	6.31	4.46	1.07	1.09	1.85	1.92e-22	2.03e-20	Altered group
C7ORF31	7p15.3	6.91	5.78	0.66	1.07	1.13	2.04e-22	2.15e-20	Altered group
HLA-DQA1	6p21.32	9.88	6.95	1.71	2.09	2.93	2.09e-22	2.19e-20	Altered group
SIGLEC9	19q13.3-q13.4	7.20	5.29	1.11	1.28	1.91	2.20e-22	2.30e-20	Altered group
TRIM38	6p22.2	7.77	6.36	0.82	0.81	1.41	2.26e-22	2.35e-20	Altered group
SOAT1	1q25.2	9.62	8.64	0.57	0.59	0.99	2.34e-22	2.41e-20	Altered group
SYTL3	6q25.3	7.11	5.63	0.86	0.96	1.48	2.37e-22	2.43e-20	Altered group
LYN	8q12.1	10.04	8.47	0.91	0.78	1.57	2.41e-22	2.46e-20	Altered group
RASAL3	19p13.12	8.05	6.49	0.91	1.15	1.56	2.70e-22	2.74e-20	Altered group
DEF6	6p21.31	8.55	7.02	0.89	1.07	1.53	2.74e-22	2.77e-20	Altered group
MFNG	22q13.1	8.97	7.96	0.59	0.95	1.01	2.90e-22	2.92e-20	Altered group
RIPK3	14q12	6.12	4.54	0.92	0.96	1.57	2.95e-22	2.95e-20	Altered group
DOCK11	Xq24	9.02	8.10	0.54	0.76	0.93	3.25e-22	3.24e-20	Altered group
CMTM6	3p22.3	10.40	9.59	0.47	0.53	0.81	3.31e-22	3.28e-20	Altered group
DOCK2	5q35.1	9.87	8.00	1.09	1.15	1.87	3.39e-22	3.34e-20	Altered group
PTAFR	1p35.3	8.08	5.97	1.24	1.37	2.11	3.70e-22	3.63e-20	Altered group
CORO1A	16p11.2	11.09	9.89	0.71	0.78	1.20	3.75e-22	3.66e-20	Altered group
FERMT3	11q13.1	9.38	7.86	0.90	0.98	1.52	4.01e-22	3.89e-20	Altered group
OSCAR	19q13.42	7.16	5.57	0.93	0.98	1.59	4.05e-22	3.91e-20	Altered group
DOCK8	9p24.3	10.14	8.34	1.06	1.13	1.80	4.10e-22	3.94e-20	Altered group
CAP1	1p34.2	12.53	11.87	0.39	0.47	0.66	4.12e-22	3.94e-20	Altered group
C16ORF54	16p11.2	5.42	3.60	1.07	0.97	1.82	4.50e-22	4.29e-20	Altered group
ALDH3B1	11q13.2	8.50	7.36	0.67	0.82	1.14	4.70e-22	4.46e-20	Altered group
ARPC1B	7q22.1	10.88	9.53	0.80	0.89	1.35	5.38e-22	5.08e-20	Altered group
CSF1R	5q32	12.87	11.21	0.99	1.21	1.67	5.64e-22	5.30e-20	Altered group
RHOH	4p14	5.63	3.81	1.08	1.16	1.82	5.75e-22	5.38e-20	Altered group
OLFML3	1p13.2	10.36	8.86	0.89	1.01	1.50	5.91e-22	5.49e-20	Altered group
CACNA2D4	12p13.33	6.14	4.78	0.81	1.08	1.37	5.94e-22	5.49e-20	Altered group
SQOR	15q21.1	8.53	7.08	0.85	0.89	1.44	5.96e-22	5.49e-20	Altered group
PLD4	14q32.33	9.94	8.30	0.97	1.46	1.63	6.04e-22	5.54e-20	Altered group
PYCARD	16p11.2	8.16	6.73	0.85	1.09	1.43	6.09e-22	5.57e-20	Altered group
B4GALT1	9p21.1	9.64	8.57	0.64	0.74	1.07	6.21e-22	5.65e-20	Altered group
PLXDC2	10p12.31	9.54	7.92	0.96	1.10	1.62	6.25e-22	5.66e-20	Altered group
OLR1	12p13.2	10.35	8.16	1.31	1.64	2.19	7.56e-22	6.81e-20	Altered group
CCR1	3p21.31	9.01	7.12	1.12	1.19	1.88	8.00e-22	7.18e-20	Altered group
LGALS9C	17p11.2	4.74	3.25	0.89	1.09	1.49	8.43e-22	7.53e-20	Altered group
KCNQ1	11p15.5-p15.4	8.13	6.77	0.81	1.05	1.36	1.01e-21	8.97e-20	Altered group
APBB1IP	10p12.1	10.36	8.50	1.11	1.22	1.86	1.08e-21	9.54e-20	Altered group
TLR6	4p14	6.10	4.22	1.12	1.12	1.88	1.12e-21	9.91e-20	Altered group
MAN2B1	19p13.13	10.96	10.04	0.55	0.68	0.92	1.17e-21	1.03e-19	Altered group
ARHGAP9	12q13.3	8.04	6.54	0.90	0.97	1.50	1.23e-21	1.08e-19	Altered group
SCIN	7p21.3	10.42	7.72	1.62	1.79	2.70	1.33e-21	1.15e-19	Altered group
SP140	2q37.1	6.18	4.56	0.97	0.88	1.63	1.43e-21	1.24e-19	Altered group
IL13RA1	Xq24	11.24	9.76	0.89	0.88	1.48	1.48e-21	1.27e-19	Altered group
IL10RA	11q23.3	9.56	7.92	0.99	1.09	1.64	1.53e-21	1.31e-19	Altered group
ST8SIA4	5q21.1	8.57	7.31	0.76	0.87	1.26	1.61e-21	1.38e-19	Altered group
PARVG	22q13.31	9.23	7.63	0.97	1.12	1.60	1.80e-21	1.54e-19	Altered group
FLI1	11q24.3	9.18	8.21	0.58	0.69	0.97	1.93e-21	1.63e-19	Altered group
HCK	20q11.21	9.40	7.87	0.93	1.02	1.54	1.93e-21	1.63e-19	Altered group
CMTM7	3p22.3	7.82	6.32	0.90	1.04	1.50	1.99e-21	1.68e-19	Altered group
ST6GAL1	3q27.3	11.89	10.70	0.71	0.64	1.19	2.13e-21	1.79e-19	Altered group
SP140L	2q37.1	7.45	6.03	0.86	1.02	1.42	2.15e-21	1.79e-19	Altered group
P2RX4	12q24.31	8.75	7.95	0.48	0.57	0.80	2.22e-21	1.84e-19	Altered group
APOBEC3F	22q13.1	6.10	4.62	0.90	0.99	1.48	2.26e-21	1.87e-19	Altered group
NCF1C	7q11.23	5.40	3.56	1.11	1.37	1.84	2.32e-21	1.91e-19	Altered group
TIFA	4q25	6.88	5.70	0.72	0.84	1.18	2.55e-21	2.09e-19	Altered group
HLA-DRB5	6p21.32	10.40	7.94	1.50	1.76	2.47	2.58e-21	2.11e-19	Altered group
CCRL2	3p21.31	6.33	5.07	0.77	0.90	1.26	2.70e-21	2.19e-19	Altered group
SNAP23	15q15.1-q15.2	9.93	9.30	0.39	0.45	0.64	2.76e-21	2.23e-19	Altered group
TGFBR1	9q22.33	10.99	9.95	0.63	0.61	1.03	2.89e-21	2.33e-19	Altered group
NAPSB	19q13.33	9.38	6.38	1.83	2.18	3.00	2.93e-21	2.36e-19	Altered group
NECAP2	1p36.13	10.83	10.12	0.43	0.69	0.71	3.00e-21	2.40e-19	Altered group
TMEM156	4p14	6.87	5.15	1.05	1.28	1.73	3.19e-21	2.55e-19	Altered group
PTPN7	1q32.1	6.54	4.30	1.37	1.56	2.24	3.23e-21	2.57e-19	Altered group
ADA2	22q11.1	10.32	8.71	0.98	0.91	1.61	3.48e-21	2.75e-19	Altered group
RNASE2	14q11.2	6.47	3.96	1.53	1.60	2.51	3.56e-21	2.80e-19	Altered group
TNFRSF1B	1p36.22	10.43	9.08	0.82	0.89	1.35	3.74e-21	2.94e-19	Altered group
ARPC3	12q24.11	11.54	11.06	0.29	0.34	0.48	3.76e-21	2.94e-19	Altered group
TMSB4XP8	4q22.1	14.77	13.85	0.57	0.75	0.93	4.03e-21	3.14e-19	Altered group
NPC2	14q24.3	11.62	10.50	0.69	0.79	1.13	4.38e-21	3.40e-19	Altered group
FXYD5	19q13.12	9.39	8.05	0.83	0.98	1.35	4.45e-21	3.44e-19	Altered group
ALPK1	4q25	7.98	6.50	0.91	0.94	1.48	4.67e-21	3.59e-19	Altered group
TM6SF1	15q25.2	8.82	7.87	0.58	0.58	0.95	4.98e-21	3.82e-19	Altered group
SIGLEC7	19q13.41	6.09	4.31	1.10	1.36	1.79	5.42e-21	4.14e-19	Altered group
NUDT16L2P	3q22.1	4.88	3.33	0.95	0.95	1.55	5.53e-21	4.20e-19	Altered group
DOK3	5q35.3	8.15	6.61	0.94	0.86	1.54	5.72e-21	4.34e-19	Altered group
ZNRF2	7p14.3	8.24	7.29	0.58	0.55	0.95	5.81e-21	4.39e-19	Altered group
NCF1	7q11.23	7.18	5.33	1.14	1.31	1.84	6.48e-21	4.86e-19	Altered group
TLR5	1q41	7.67	5.91	1.08	1.09	1.76	6.49e-21	4.86e-19	Altered group
RAC2	22q13.1	8.01	6.20	1.12	1.10	1.81	6.58e-21	4.90e-19	Altered group
CSTA	3q21.1	5.07	2.62	1.51	1.67	2.45	6.59e-21	4.90e-19	Altered group
TTC7A	2p21	10.06	9.31	0.47	0.55	0.75	7.07e-21	5.24e-19	Altered group
SP100	2q37.1	9.54	7.96	0.98	0.93	1.58	8.42e-21	6.22e-19	Altered group
RUNX2	6p21.1	7.41	5.86	0.96	0.96	1.55	8.84e-21	6.51e-19	Altered group
PIK3R5	17p13.1	8.82	7.15	1.03	1.08	1.66	8.99e-21	6.59e-19	Altered group
