Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
RASSF2	20p13	10.52	9.18	0.42	0.96	1.34	1.29e-23	8.29e-21	Altered group
FLT3	13q12.2	5.59	3.66	0.59	1.32	1.93	1.39e-23	8.70e-21	Altered group
DOCK8	9p24.3	11.08	9.56	0.47	1.00	1.52	1.98e-23	1.20e-20	Altered group
PLCG2	16q24.1	10.00	8.59	0.43	0.90	1.41	2.12e-23	1.25e-20	Altered group
RCSD1	1q24.2	9.84	8.22	0.49	0.96	1.62	2.51e-23	1.43e-20	Altered group
C16ORF54	16p11.2	8.41	6.60	0.56	1.22	1.81	2.58e-23	1.43e-20	Altered group
LILRB1	19q13.42	9.11	7.33	0.55	1.13	1.78	7.37e-23	3.89e-20	Altered group
FAM78A	9q34.13	9.13	7.58	0.47	0.89	1.55	7.40e-23	3.89e-20	Altered group
MPEG1	11q12.1	11.31	9.55	0.55	1.08	1.77	8.18e-23	4.19e-20	Altered group
DOCK10	2q36.2	9.96	8.53	0.47	1.11	1.44	8.69e-23	4.34e-20	Altered group
CYTIP	2q24.1	9.99	8.36	0.52	1.06	1.63	1.32e-22	6.45e-20	Altered group
SELPLG	12q24.11	10.89	9.34	0.49	0.99	1.55	1.96e-22	9.26e-20	Altered group
CD84	1q23.3	9.03	6.98	0.66	1.35	2.06	1.99e-22	9.26e-20	Altered group
CARD8	19q13.33	9.86	9.01	0.27	0.56	0.85	2.89e-22	1.31e-19	Altered group
PIK3AP1	10q24.1	10.63	8.96	0.54	1.10	1.67	3.61e-22	1.60e-19	Altered group
CYRIA	2p24.2	7.82	6.46	0.46	1.07	1.36	6.53e-22	2.84e-19	Altered group
TASL	Xp21.2	7.41	5.77	0.53	1.07	1.64	6.98e-22	2.97e-19	Altered group
PRKCB	16p12.2-p12.1	9.60	7.93	0.57	1.18	1.68	2.47e-21	1.02e-18	Altered group
GVINP1	11p15.4	8.54	6.59	0.65	1.25	1.96	2.49e-21	1.02e-18	Altered group
SYK	9q22.2	11.13	10.21	0.33	0.80	0.93	3.19e-21	1.28e-18	Altered group
SNX20	16q12.1	7.97	6.22	0.59	1.12	1.75	5.47e-21	2.11e-18	Altered group
CD4	12p13.31	12.43	10.87	0.52	0.99	1.56	5.49e-21	2.11e-18	Altered group
RAB8B	15q22.2	10.27	9.24	0.35	0.71	1.03	5.90e-21	2.22e-18	Altered group
WDFY4	10q11.23	10.08	8.34	0.61	1.42	1.73	6.22e-21	2.30e-18	Altered group
SLA	8q24.22	10.50	9.02	0.51	1.01	1.48	6.61e-21	2.37e-18	Altered group
IL2RG	Xq13.1	11.20	9.48	0.59	1.14	1.72	6.64e-21	2.37e-18	Altered group
PLXNC1	12q22	9.28	7.68	0.57	1.40	1.61	6.98e-21	2.45e-18	Altered group
GLIPR1	12q21.2	10.17	8.90	0.45	0.97	1.27	8.61e-21	2.96e-18	Altered group
CD28	2q33.2	7.84	6.18	0.58	1.17	1.66	1.04e-20	3.51e-18	Altered group
DOK3	5q35.3	9.39	7.95	0.49	0.91	1.44	1.07e-20	3.56e-18	Altered group
GNG2	14q22.1	9.48	8.24	0.43	0.82	1.25	1.29e-20	4.24e-18	Altered group
SLAMF1	1q23.3	7.51	5.59	0.66	1.24	1.92	1.51e-20	4.86e-18	Altered group
PCED1B-AS1	12q13.11	6.75	5.05	0.60	1.16	1.70	1.78e-20	5.64e-18	Altered group
GIMAP4	7q36.1	10.58	9.01	0.53	0.90	1.56	2.45e-20	7.63e-18	Altered group
CCR5	3p21.31	9.45	7.71	0.61	1.13	1.73	2.86e-20	8.79e-18	Altered group
PIK3R5	17p13.1	9.33	7.78	0.54	1.02	1.55	2.94e-20	8.91e-18	Altered group
PLCL2	3p24.3	8.59	7.20	0.49	0.94	1.39	3.44e-20	1.01e-17	Altered group
GAB3	Xq28	8.31	6.89	0.50	0.98	1.42	3.59e-20	1.04e-17	Altered group
ARHGAP15	2q22.2-q22.3	8.05	6.34	0.60	1.08	1.71	3.79e-20	1.08e-17	Altered group
GIMAP2	7q36.1	9.01	7.59	0.51	1.04	1.42	3.92e-20	1.09e-17	Altered group
SCIMP	17p13.2	7.14	5.05	0.73	1.28	2.09	3.94e-20	1.09e-17	Altered group
VAV1	19p13.3	9.65	8.53	0.42	1.08	1.12	4.30e-20	1.18e-17	Altered group
SAMSN1	21q11.2	9.46	7.90	0.56	1.11	1.57	4.87e-20	1.31e-17	Altered group
LAPTM5	1p35.2	13.85	12.32	0.54	0.98	1.53	4.98e-20	1.33e-17	Altered group
IRF8	16q24.1	10.34	8.56	0.63	1.13	1.78	5.06e-20	1.33e-17	Altered group
VSIR	10q22.1	10.89	9.81	0.39	0.76	1.08	6.24e-20	1.62e-17	Altered group
SPN	16p11.2	10.07	8.25	0.64	1.18	1.81	6.87e-20	1.76e-17	Altered group
SLC7A7	14q11.2	10.65	9.18	0.53	0.99	1.47	7.81e-20	1.97e-17	Altered group
FMNL3	12q13.12	10.62	9.63	0.36	0.67	0.99	9.09e-20	2.27e-17	Altered group
TNFSF8	9q32-q33.1	6.98	5.19	0.64	1.21	1.79	1.01e-19	2.50e-17	Altered group
CYBB	Xp21.1-p11.4	12.51	10.57	0.70	1.31	1.94	1.07e-19	2.62e-17	Altered group
LRRC8C	1p22.2	9.46	8.45	0.37	0.77	1.00	1.18e-19	2.85e-17	Altered group
ITGA4	2q31.3	10.09	8.69	0.51	0.99	1.39	1.28e-19	3.04e-17	Altered group
RUNX3	1p36.11	9.92	8.36	0.56	1.04	1.56	1.33e-19	3.12e-17	Altered group
ABCA6	17q24.2-q24.3	7.63	6.01	0.61	1.41	1.62	1.44e-19	3.33e-17	Altered group
PTGER4	5p13.1	9.34	7.77	0.57	1.09	1.57	1.46e-19	3.33e-17	Altered group
ARHGEF3	3p14.3	10.14	9.52	0.24	0.55	0.62	1.47e-19	3.33e-17	Altered group
SAMD3	6q23.1	6.38	4.48	0.69	1.24	1.89	1.85e-19	4.15e-17	Altered group
GPR65	14q31.3	8.02	6.36	0.60	1.05	1.66	1.89e-19	4.21e-17	Altered group
ANKRD44	2q33.1	7.97	6.53	0.54	1.19	1.44	2.23e-19	4.89e-17	Altered group
ITK	5q33.3	8.75	6.88	0.69	1.34	1.87	2.35e-19	5.11e-17	Altered group
CRTAM	11q24.1	6.81	4.78	0.74	1.29	2.03	2.57e-19	5.51e-17	Altered group
SLAMF6	1q23.2-q23.3	9.00	7.03	0.72	1.26	1.98	2.78e-19	5.91e-17	Altered group
GYPC	2q14.3	9.61	8.34	0.47	0.89	1.27	3.43e-19	7.20e-17	Altered group
HCLS1	3q13.33	11.31	10.01	0.49	0.99	1.30	4.09e-19	8.51e-17	Altered group
CYTH4	22q13.1	10.07	8.54	0.56	0.97	1.53	5.00e-19	1.03e-16	Altered group
KAT2B	3p24.3	9.41	8.61	0.31	0.77	0.80	5.39e-19	1.10e-16	Altered group
ITPRIPL1	2q11.2	5.86	4.62	0.48	1.08	1.25	5.44e-19	1.10e-16	Altered group
AOAH	7p14.2	9.01	7.00	0.75	1.34	2.01	6.24e-19	1.25e-16	Altered group
GPRIN3	4q22.1	8.42	7.16	0.49	1.14	1.25	6.86e-19	1.36e-16	Altered group
FYB1	5p13.1	10.67	8.92	0.65	1.15	1.75	7.27e-19	1.42e-16	Altered group
TLR7	Xp22.2	8.42	6.62	0.68	1.27	1.81	7.62e-19	1.46e-16	Altered group
HVCN1	12q24.11	8.95	7.46	0.54	0.77	1.49	7.62e-19	1.46e-16	Altered group
PLEK	2p14	11.02	9.20	0.68	1.15	1.82	7.89e-19	1.50e-16	Altered group
FGD2	6p21.2	9.29	7.67	0.61	1.10	1.62	9.34e-19	1.76e-16	Altered group
RASGRP3	2p22.3	9.02	7.99	0.39	0.75	1.03	1.02e-18	1.90e-16	Altered group
GGTA1	9q33.2	8.64	7.01	0.62	1.10	1.63	1.03e-18	1.91e-16	Altered group
RASSF5	1q32.1	10.73	9.76	0.38	0.81	0.97	1.31e-18	2.39e-16	Altered group
GRAP2	22q13.1	7.16	5.56	0.62	1.20	1.60	1.45e-18	2.64e-16	Altered group
EVI2A	17q11.2	9.90	8.15	0.66	1.09	1.74	1.65e-18	2.97e-16	Altered group
TRAF3IP3	1q32.2	8.69	6.97	0.66	1.10	1.72	2.05e-18	3.66e-16	Altered group
STK4	20q13.12	10.63	9.85	0.30	0.49	0.78	2.09e-18	3.69e-16	Altered group
ARHGAP9	12q13.3	9.41	7.84	0.61	1.08	1.56	2.48e-18	4.34e-16	Altered group
SP140	2q37.1	8.60	6.90	0.66	1.13	1.70	2.73e-18	4.74e-16	Altered group
SH2B3	12q24.12	10.39	9.40	0.39	0.72	0.99	2.90e-18	4.99e-16	Altered group
MFNG	22q13.1	9.36	8.11	0.48	0.83	1.24	2.94e-18	5.03e-16	Altered group
PTPN7	1q32.1	9.59	8.00	0.61	1.08	1.58	3.02e-18	5.11e-16	Altered group
INPP5D	2q37.1	10.61	9.23	0.54	1.02	1.38	3.52e-18	5.87e-16	Altered group
PREX1	20q13.13	11.05	9.72	0.51	0.86	1.33	3.54e-18	5.87e-16	Altered group
LDLRAD4	18p11.21	9.01	7.99	0.42	1.10	1.02	3.55e-18	5.87e-16	Altered group
SLC8A1	2p22.1	9.10	7.83	0.50	0.98	1.27	3.62e-18	5.93e-16	Altered group
STAT5A	17q21.2	10.32	9.28	0.40	0.70	1.04	4.37e-18	7.04e-16	Altered group
CYLD	16q12.1	10.72	9.96	0.30	0.58	0.76	4.37e-18	7.04e-16	Altered group
CR1	1q32.2	8.99	6.82	0.85	1.48	2.17	4.88e-18	7.74e-16	Altered group
FCHSD2	11q13.4	10.30	9.73	0.23	0.51	0.57	5.00e-18	7.86e-16	Altered group
P2RY13	3q25.1	8.54	6.59	0.76	1.28	1.95	5.63e-18	8.79e-16	Altered group
ZNF831	20q13.32	7.14	5.16	0.78	1.38	1.98	5.83e-18	9.03e-16	Altered group
TLR4	9q33.1	9.98	8.34	0.64	1.04	1.64	6.07e-18	9.33e-16	Altered group
IL7R	5p13.2	9.19	7.36	0.75	1.59	1.83	6.64e-18	1.01e-15	Altered group
GIMAP7	7q36.1	9.34	7.72	0.63	0.96	1.62	7.57e-18	1.14e-15	Altered group
DOCK11	Xq24	9.68	8.51	0.48	1.04	1.17	7.58e-18	1.14e-15	Altered group
PLCL1	2q33.1	7.16	6.15	0.42	0.93	1.01	9.03e-18	1.35e-15	Altered group
NCF1	7q11.23	9.15	7.22	0.76	1.24	1.93	1.03e-17	1.52e-15	Altered group
CCDC69	5q33.1	10.71	9.56	0.47	1.01	1.15	1.14e-17	1.68e-15	Altered group
GNGT2	17q21.32	6.37	5.08	0.52	0.97	1.29	1.29e-17	1.88e-15	Altered group
TESPA1	12q13.2	6.89	5.15	0.71	1.29	1.74	1.33e-17	1.92e-15	Altered group
WAS	Xp11.23	9.50	7.98	0.60	0.96	1.51	1.45e-17	2.07e-15	Altered group
JAK2	9p24.1	9.39	8.24	0.46	0.79	1.16	1.45e-17	2.07e-15	Altered group
LY9	1q23.3	8.07	6.16	0.76	1.26	1.91	1.50e-17	2.13e-15	Altered group
CD3E	11q23.3	10.14	8.38	0.71	1.20	1.77	1.70e-17	2.40e-15	Altered group
APOBEC3C	22q13.1	9.29	8.27	0.43	0.98	1.02	1.81e-17	2.53e-15	Altered group
CD2	1p13.1	9.96	8.25	0.70	1.23	1.71	2.10e-17	2.92e-15	Altered group
ELMO1	7p14.2-p14.1	9.48	8.46	0.43	0.99	1.02	2.12e-17	2.93e-15	Altered group
GIMAP6	7q36.1	10.04	8.54	0.60	0.93	1.50	2.15e-17	2.94e-15	Altered group
PYHIN1	1q23.1	7.03	4.96	0.84	1.36	2.07	3.13e-17	4.26e-15	Altered group
LITAF	16p13.13	12.68	12.13	0.23	0.57	0.54	3.37e-17	4.55e-15	Altered group
PTK2B	8p21.2	10.79	9.83	0.40	0.80	0.96	3.60e-17	4.82e-15	Altered group
PLEKHO2	15q22.31	11.18	9.94	0.49	0.70	1.23	3.71e-17	4.94e-15	Altered group
BLNK	10q24.1	8.50	7.31	0.50	0.99	1.19	3.77e-17	4.99e-15	Altered group
CD247	1q24.2	8.45	6.79	0.69	1.15	1.67	3.81e-17	5.01e-15	Altered group
CASS4	20q13.31	7.71	6.22	0.63	1.24	1.49	3.87e-17	5.04e-15	Altered group
LAT2	7q11.23	9.48	8.20	0.54	1.01	1.28	3.88e-17	5.04e-15	Altered group
FGL2	7q11.23	11.14	9.32	0.74	1.22	1.81	3.91e-17	5.04e-15	Altered group
LAIR1	19q13.42	10.72	9.08	0.67	1.11	1.64	4.13e-17	5.28e-15	Altered group
KBTBD8	3p14.1	7.28	5.77	0.62	0.95	1.50	4.74e-17	6.03e-15	Altered group
P2RY8	Xp22.33 and Yp11.3	8.77	7.11	0.69	1.12	1.66	4.77e-17	6.03e-15	Altered group
C3AR1	12p13.31	10.17	8.50	0.69	1.15	1.67	5.31e-17	6.68e-15	Altered group
ASB2	14q32.12	7.11	5.51	0.67	1.20	1.61	5.54e-17	6.92e-15	Altered group
TFEC	7q31.2	9.16	7.21	0.80	1.21	1.95	5.73e-17	7.11e-15	Altered group
SAMHD1	20q11.23	11.17	9.83	0.56	0.98	1.34	5.90e-17	7.27e-15	Altered group
CTSS	1q21.3	13.44	12.14	0.54	0.89	1.30	6.05e-17	7.41e-15	Altered group
RAC2	22q13.1	11.56	10.22	0.56	0.95	1.34	7.03e-17	8.56e-15	Altered group
SLCO2B1	11q13.4	12.06	10.40	0.70	1.19	1.66	7.16e-17	8.62e-15	Altered group
PTAFR	1p35.3	8.94	7.26	0.71	1.37	1.67	7.16e-17	8.62e-15	Altered group
IGSF6	16p12.2	9.38	7.44	0.80	1.21	1.93	7.35e-17	8.79e-15	Altered group
CASP1	11q22.3	9.81	8.62	0.51	1.02	1.19	7.53e-17	8.96e-15	Altered group
HLA-DOA	6p21.32	11.66	9.90	0.75	1.39	1.76	7.72e-17	9.12e-15	Altered group
GFI1	1p22.1	7.19	5.66	0.65	1.13	1.53	1.02e-16	1.20e-14	Altered group
CD86	3q13.33	9.78	8.28	0.63	1.03	1.50	1.06e-16	1.24e-14	Altered group
TBXAS1	7q34	9.89	8.76	0.49	0.97	1.13	1.11e-16	1.28e-14	Altered group
TNFRSF1B	1p36.22	11.26	10.17	0.47	0.82	1.09	1.32e-16	1.53e-14	Altered group
IL12RB1	19p13.11	7.80	6.07	0.73	1.19	1.72	1.40e-16	1.60e-14	Altered group
SLC2A9	4p16.1	6.88	5.55	0.57	0.99	1.34	1.51e-16	1.73e-14	Altered group
KCNMA1	10q22.3	9.01	7.45	0.68	1.34	1.56	1.61e-16	1.83e-14	Altered group
P2RX7	12q24.31	7.80	5.93	0.80	1.36	1.87	1.65e-16	1.87e-14	Altered group
TLR8	Xp22.2	8.78	6.60	0.92	1.40	2.18	1.68e-16	1.89e-14	Altered group
JAML	11q23.3	10.05	8.29	0.76	1.20	1.77	2.13e-16	2.38e-14	Altered group
TXLNB	6q24.1	6.29	4.85	0.64	1.32	1.43	2.30e-16	2.56e-14	Altered group
NCF1B	7q11.23	7.00	5.11	0.81	1.26	1.89	2.32e-16	2.57e-14	Altered group
TRIM22	11p15.4	11.44	10.35	0.48	1.02	1.09	2.34e-16	2.57e-14	Altered group
CCDC50	3q28	10.68	9.91	0.34	0.65	0.77	2.52e-16	2.76e-14	Altered group
P2RY10	Xq21.1	7.32	5.33	0.85	1.28	1.99	2.55e-16	2.76e-14	Altered group
MARCHF1	4q32.2-q32.3	8.07	6.42	0.71	1.03	1.65	2.69e-16	2.90e-14	Altered group
SCML4	6q21	6.79	4.88	0.83	1.37	1.91	2.85e-16	3.06e-14	Altered group
STX11	6q24.2	8.85	7.36	0.64	1.00	1.49	3.10e-16	3.31e-14	Altered group
ADGRG5	16q21	7.45	5.67	0.78	1.33	1.78	3.14e-16	3.33e-14	Altered group
ABI3	17q21.32	9.30	7.96	0.58	0.84	1.34	3.21e-16	3.40e-14	Altered group
NFAM1	22q13.2	9.66	7.97	0.73	1.13	1.69	3.36e-16	3.53e-14	Altered group
SIRPA	20p13	11.30	9.97	0.58	0.99	1.33	3.50e-16	3.67e-14	Altered group
RNASE6	14q11.2	9.52	8.13	0.60	0.98	1.38	4.06e-16	4.23e-14	Altered group
MNDA	1q23.1	9.74	8.04	0.75	1.27	1.70	4.31e-16	4.46e-14	Altered group
FNBP1	9q34.11	10.92	10.08	0.37	0.69	0.84	4.78e-16	4.92e-14	Altered group
HCK	20q11.21	10.55	9.00	0.69	1.19	1.55	4.84e-16	4.96e-14	Altered group
PPP1R16B	20q11.23	9.75	7.96	0.78	1.15	1.79	5.11e-16	5.21e-14	Altered group
GPSM3	6p21.32	10.57	9.51	0.48	0.89	1.07	5.49e-16	5.57e-14	Altered group
DCANP1	5q31.1	6.23	4.09	0.94	1.49	2.15	5.78e-16	5.83e-14	Altered group
TNFAIP8	5q23.1	9.79	8.71	0.49	0.89	1.08	6.33e-16	6.35e-14	Altered group
CD96	3q13.13-q13.2	9.04	7.33	0.77	1.34	1.71	6.59e-16	6.58e-14	Altered group
CPED1	7q31.31	8.48	7.02	0.66	1.28	1.46	6.96e-16	6.92e-14	Altered group
FPR3	19q13.41	10.53	9.03	0.67	1.19	1.50	7.33e-16	7.25e-14	Altered group
GAS7	17p13.1	10.38	9.10	0.58	1.10	1.28	7.46e-16	7.34e-14	Altered group
SETDB2	13q14.2	8.72	8.04	0.31	0.55	0.69	7.77e-16	7.61e-14	Altered group
GIMAP1	7q36.1	8.02	6.57	0.64	0.96	1.45	8.49e-16	8.27e-14	Altered group
MYO1F	19p13.2	10.51	9.04	0.65	0.96	1.47	8.81e-16	8.55e-14	Altered group
SLAMF8	1q23.2	10.92	9.20	0.76	1.13	1.72	9.03e-16	8.72e-14	Altered group
CD180	5q12.3	8.81	7.10	0.76	1.12	1.71	9.25e-16	8.89e-14	Altered group
FGD3	9q22.31	9.07	7.79	0.58	0.95	1.29	1.02e-15	9.71e-14	Altered group
ADPRH	3q13.33	8.98	8.15	0.38	0.74	0.82	1.08e-15	1.02e-13	Altered group
ACSM5	16p12.3	4.90	2.96	0.87	1.47	1.93	1.08e-15	1.02e-13	Altered group
ABCD2	12q12	6.00	4.11	0.84	1.23	1.89	1.08e-15	1.02e-13	Altered group
KCNAB2	1p36.31	9.94	8.62	0.59	0.93	1.32	1.13e-15	1.06e-13	Altered group
TRAT1	3q13.13	6.74	4.60	0.96	1.44	2.14	1.18e-15	1.10e-13	Altered group
SERPINB9	6p25.2	9.87	8.90	0.45	0.95	0.98	1.18e-15	1.10e-13	Altered group
MAP4K1	19q13.2	9.03	7.41	0.73	1.19	1.62	1.32e-15	1.22e-13	Altered group
GPR155	2q31.1	8.41	7.38	0.47	0.74	1.03	1.39e-15	1.28e-13	Altered group
HLA-DPA1	6p21.32	14.57	13.00	0.72	1.30	1.57	1.42e-15	1.31e-13	Altered group
HLA-DRA	6p21.32	16.05	14.48	0.72	1.28	1.57	1.43e-15	1.31e-13	Altered group
EOMES	3p24.1	6.71	4.59	0.95	1.38	2.12	1.47e-15	1.34e-13	Altered group
CYSLTR1	Xq21.1	7.13	5.70	0.67	1.35	1.44	1.51e-15	1.36e-13	Altered group
TLR1	4p14	8.77	7.56	0.55	0.91	1.21	1.52e-15	1.37e-13	Altered group
LYZ	12q15	15.11	12.95	0.98	1.60	2.16	1.55e-15	1.39e-13	Altered group
CD37	19q13.33	10.77	9.04	0.78	1.10	1.73	1.63e-15	1.45e-13	Altered group
CD1D	1q23.1	7.16	5.74	0.64	1.04	1.42	1.65e-15	1.46e-13	Altered group
HLA-DPB1	6p21.32	13.92	12.35	0.72	1.28	1.57	1.71e-15	1.51e-13	Altered group
TICAM2	5q22.3	7.64	6.72	0.43	0.99	0.92	1.72e-15	1.51e-13	Altered group
CCR6	6q27	8.05	6.37	0.77	1.22	1.68	1.74e-15	1.52e-13	Altered group
TMOD2	15q21.2	8.44	7.67	0.36	0.88	0.77	1.76e-15	1.54e-13	Altered group
THEMIS2	1p35.3	10.65	9.58	0.49	0.87	1.08	1.78e-15	1.55e-13	Altered group
CYSLTR2	13q14.2	5.51	3.93	0.72	1.14	1.58	1.81e-15	1.57e-13	Altered group
N4BP2L1	13q13.1	8.67	7.66	0.47	0.91	1.01	1.85e-15	1.59e-13	Altered group
SH3BGRL	Xq21.1	11.65	10.90	0.35	0.66	0.75	1.85e-15	1.59e-13	Altered group
CCR4	3p22.3	6.81	4.96	0.86	1.54	1.86	1.89e-15	1.61e-13	Altered group
KCTD12	13q22.3	12.06	10.94	0.52	0.98	1.13	1.93e-15	1.64e-13	Altered group
GIMAP5	7q36.1	10.03	8.47	0.70	0.99	1.55	2.05e-15	1.73e-13	Altered group
PTPRO	12p12.3	8.20	6.51	0.78	1.31	1.69	2.06e-15	1.73e-13	Altered group
CMKLR1	12q23.3	10.03	8.35	0.77	1.15	1.68	2.06e-15	1.73e-13	Altered group
BHLHE41	12p12.1	9.82	8.31	0.70	1.23	1.51	2.09e-15	1.74e-13	Altered group
EPB41L2	6q23.1-q23.2	10.56	9.49	0.50	0.91	1.07	2.09e-15	1.74e-13	Altered group
LRRK1	15q26.3	9.36	8.34	0.48	0.96	1.02	2.10e-15	1.74e-13	Altered group
HAVCR2	5q33.3	10.13	8.66	0.67	1.10	1.47	2.11e-15	1.74e-13	Altered group
CARD16	11q22.3	8.57	7.42	0.54	1.09	1.15	2.22e-15	1.82e-13	Altered group
SLC1A3	5p13.2	9.47	7.68	0.81	1.24	1.79	2.24e-15	1.83e-13	Altered group
STK10	5q35.1	10.55	9.53	0.47	0.75	1.02	2.27e-15	1.85e-13	Altered group
DCP2	5q22.2	9.78	9.29	0.23	0.56	0.49	2.42e-15	1.97e-13	Altered group
RNF125	18q12.1	8.24	7.32	0.44	0.91	0.92	2.61e-15	2.11e-13	Altered group
LRRC25	19p13.11	8.87	7.40	0.68	1.05	1.47	2.66e-15	2.14e-13	Altered group
TMEM273	10q11.23	6.03	4.34	0.78	1.21	1.69	2.75e-15	2.20e-13	Altered group
TNFSF13B	13q33.3	8.27	6.57	0.78	1.17	1.71	2.76e-15	2.21e-13	Altered group
GPR174	Xq21.1	5.54	3.57	0.90	1.35	1.97	2.83e-15	2.24e-13	Altered group
SLC37A2	11q24.2	9.45	7.88	0.73	1.20	1.57	2.83e-15	2.24e-13	Altered group
SLC9A9	3q24	8.26	6.87	0.64	0.96	1.39	3.44e-15	2.71e-13	Altered group
RGS18	1q31.2	6.99	5.28	0.79	1.21	1.71	3.45e-15	2.71e-13	Altered group
IRF2	4q35.1	10.20	9.74	0.22	0.42	0.47	3.67e-15	2.87e-13	Altered group
GIMAP8	7q36.1	9.45	8.04	0.65	0.95	1.41	3.81e-15	2.97e-13	Altered group
GIT2	12q24.11	10.54	10.05	0.23	0.40	0.49	3.82e-15	2.97e-13	Altered group
TM6SF1	15q25.2	8.03	6.79	0.58	0.96	1.24	4.01e-15	3.10e-13	Altered group
CD74	5q33.1	17.24	15.86	0.65	1.23	1.38	4.33e-15	3.34e-13	Altered group
PLXDC2	10p12.31	9.73	8.53	0.57	0.98	1.20	4.41e-15	3.39e-13	Altered group
PLA2G7	6p12.3	9.56	7.79	0.82	1.17	1.76	4.97e-15	3.80e-13	Altered group
GATA3	10p14	7.39	6.14	0.60	1.22	1.25	5.39e-15	4.11e-13	Altered group
SIGLEC5	19q13.41	7.10	5.48	0.76	1.23	1.62	5.61e-15	4.26e-13	Altered group
PRKCQ	10p15.1	7.33	5.92	0.68	1.38	1.41	5.78e-15	4.37e-13	Altered group
GMFG	19q13.2	9.84	8.41	0.67	0.93	1.43	5.87e-15	4.42e-13	Altered group
ITGB2	21q22.3	13.16	11.56	0.76	1.21	1.60	6.33e-15	4.75e-13	Altered group
CD5	11q12.2	8.91	7.24	0.79	1.30	1.67	6.58e-15	4.92e-13	Altered group
ITGB7	12q13.13	9.52	8.18	0.63	1.02	1.33	6.99e-15	5.20e-13	Altered group
NLRC3	16p13.3	8.59	7.10	0.70	1.00	1.49	7.00e-15	5.20e-13	Altered group
PARVG	22q13.31	9.83	8.41	0.67	1.06	1.42	7.38e-15	5.46e-13	Altered group
TLR6	4p14	6.66	5.52	0.55	1.02	1.14	7.56e-15	5.57e-13	Altered group
PPP3CC	8p21.3	8.57	7.97	0.29	0.55	0.60	8.34e-15	6.13e-13	Altered group
ZC3H12D	6q25.1	5.89	4.57	0.63	1.11	1.32	8.39e-15	6.14e-13	Altered group
